X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-97.281815,30.297161,2581,CVS 10337,1300 E US Highway 290,,Elgin,TX,78621,2128,BASTROP,-97.281815,30.297161
-77.604706,43.175114,2582,My Way Mini Market,695 Clifford Ave,,Rochester,NY,14621,5770,MONROE,-77.604706,43.175114
-80.086838,42.115482,2583,Quick Stop Food Store,408 W 18th St,,Erie,PA,16502,1719,ERIE,-80.086838,42.115482
-83.926765,43.429237,2584,Stop-N-Shop,1227 Janes Ave,,Saginaw,MI,48607,1644,SAGINAW,-83.926765,43.429237
-87.695786,41.871853,2585,United Food Mart,735 S California Ave,,Chicago,IL,60612,3368,COOK,-87.695786,41.871853
-86.571503,35.079075,2586,Parsley's Market & Deli,2735 Huntsville Hwy,,Fayetteville,TN,37334,6780,LINCOLN,-86.571503,35.079075
-100.20554,30.014553,2587,FAMILY DOLLAR STORE 11249,209 S SH 55,,Rocksprings,TX,78880,,EDWARDS,-100.20554,30.014553
-79.808182,34.192501,2588,Breakers 179,2074 W Evans St,,Florence,SC,29501,3357,FLORENCE,-79.808182,34.192501
-73.976006,40.723785,2589,Ave D & 8 St Deli Corp,113 Avenue D,,New York,NY,10009,5342,NEW YORK,-73.976006,40.723785
-122.35006,47.48996,2590,Ambaum Food Store,12609 Ambaum Blvd SW,,Burien,WA,98146,3152,KING,-122.35006,47.48996
-155.08698,19.726946,2591,The Locavore Store,60 Kamehameha Ave,,Hilo,HI,96720,2831,HAWAII,-155.08698,19.726946
-73.925064,40.673752,2592,Buffalo Discount Corp,161 Buffalo Ave,,Brooklyn,NY,11213,,KINGS,-73.925064,40.673752
-81.802773,24.555782,2593,CVS Pharmacy 10169,500 Duval St,,Key West,FL,33040,6553,MONROE,-81.802773,24.555782
-81.365868,28.344254,2594,DOLLARTREE 8653,1938 E Osceola Pkwy,,Kissimmee,FL,34743,8626,OSCEOLA,-81.365868,28.344254
-76.301376,40.038204,2595,G-Sapphire African Market LLC,14 S Lime St,,Lancaster,PA,17602,3554,LANCASTER,-76.301376,40.038204
